
VG= 0 to 1 in 0.01 step
NO. VG ID IG VD
 V A A V
1 0 1.5673E-05 -3.0791E-06 0.1
2 0.01 1.533E-05 -2.6913E-06 0.1
3 0.02 1.5024E-05 -2.3173E-06 0.1
4 0.03 1.4703E-05 -1.9565E-06 0.1
5 0.04 1.4463E-05 -1.5993E-06 0.1
6 0.05 1.4165E-05 -1.2437E-06 0.1
7 0.06 1.3853E-05 -8.9645E-07 0.1
8 0.07 1.3499E-05 -5.5233E-07 0.1
9 0.08 1.3196E-05 -2.0087E-07 0.1
10 0.09 1.2888E-05 1.4753E-07 0.1
11 0.1 1.2599E-05 4.9752E-07 0.1
12 0.11 1.2294E-05 8.4858E-07 0.1
13 0.12 1.1964E-05 1.211E-06 0.1
14 0.13 1.1673E-05 1.5868E-06 0.1
15 0.14 1.1359E-05 1.9682E-06 0.1
16 0.15 1.1011E-05 2.3694E-06 0.1
17 0.16 1.0629E-05 2.7848E-06 0.1
18 0.17 1.0243E-05 3.243E-06 0.1
19 0.18 9.8312E-06 3.6774E-06 0.1
20 0.19 9.4561E-06 4.1536E-06 0.1
21 0.2 9.0177E-06 4.6439E-06 0.1
22 0.21 8.5768E-06 5.1565E-06 0.1
23 0.22 8.1367E-06 5.6879E-06 0.1
24 0.23 7.6861E-06 6.2435E-06 0.1
25 0.24 7.2379E-06 6.807E-06 0.1
26 0.25 6.7573E-06 7.4056E-06 0.1
27 0.26 6.3109E-06 8.0134E-06 0.1
28 0.27 5.8426E-06 8.6399E-06 0.1
29 0.28 5.332E-06 9.2864E-06 0.1
30 0.29 4.9599E-06 9.9483E-06 0.1
31 0.3 4.514E-06 1.06244E-05 0.1
32 0.31 4.0788E-06 1.13187E-05 0.1
33 0.32 3.6902E-06 1.2023E-05 0.1
34 0.33 3.4269E-06 1.2751E-05 0.1
35 0.34 3.0847E-06 1.3485E-05 0.1
36 0.35 2.7818E-06 1.4237E-05 0.1
37 0.36 2.6249E-06 1.5019E-05 0.1
38 0.37 2.5358E-06 1.5804E-05 0.1
39 0.38 2.5696E-06 1.6969E-05 0.1
40 0.39 2.2638E-06 1.778E-05 0.1
41 0.4 2.4242E-06 1.8635E-05 0.1
42 0.41 3.2488E-06 1.9106E-05 0.1
43 0.42 3.6848E-06 1.9975E-05 0.1
44 0.43 4.033E-06 2.0862E-05 0.1
45 0.44 5.0758E-06 2.1766E-05 0.1
46 0.45 5.8476E-06 2.3111E-05 0.1
47 0.46 6.8803E-06 2.3855E-05 0.1
48 0.47 8.0385E-06 2.4803E-05 0.1
49 0.48 9.06E-06 2.5572E-05 0.1
50 0.49 1.04616E-05 2.6554E-05 0.1
51 0.5 1.2096E-05 2.7721E-05 0.1
52 0.51 1.3781E-05 2.8751E-05 0.1
53 0.52 1.521E-05 2.9621E-05 0.1
54 0.53 1.7263E-05 3.0726E-05 0.1
55 0.54 1.9157E-05 3.1876E-05 0.1
56 0.55 2.094E-05 3.2879E-05 0.1
57 0.56 2.304E-05 3.3981E-05 0.1
58 0.57 2.4678E-05 3.5184E-05 0.1
59 0.58 2.7078E-05 3.6367E-05 0.1
60 0.59 2.8932E-05 3.7562E-05 0.1
61 0.6 3.0726E-05 3.8712E-05 0.1
62 0.61 3.2747E-05 3.9921E-05 0.1
63 0.62 3.4747E-05 4.1152E-05 0.1
64 0.63 3.6825E-05 4.2432E-05 0.1
65 0.64 3.8971E-05 4.3648E-05 0.1
66 0.65 4.098E-05 4.4935E-05 0.1
67 0.66 4.2694E-05 4.6274E-05 0.1
68 0.67 4.477E-05 4.7587E-05 0.1
69 0.68 4.6677E-05 4.9E-05 0.1
70 0.69 4.877E-05 5.0347E-05 0.1
71 0.7 5.0613E-05 5.1629E-05 0.1
72 0.71 5.2409E-05 5.2995E-05 0.1
73 0.72 5.3554E-05 5.4451E-05 0.1
74 0.73 5.5331E-05 5.5863E-05 0.1
75 0.74 5.6889E-05 5.738E-05 0.1
76 0.75 5.8978E-05 5.8667E-05 0.1
77 0.76 6.0936E-05 6.014E-05 0.1
78 0.77 6.2408E-05 6.1774E-05 0.1
79 0.78 6.3305E-05 6.3494E-05 0.1
80 0.79 6.5229E-05 6.4707E-05 0.1
81 0.8 6.6726E-05 6.6393E-05 0.1
82 0.81 6.746E-05 6.8166E-05 0.1
83 0.82 6.913E-05 6.9716E-05 0.1
84 0.83 7.0461E-05 7.1292E-05 0.1
85 0.84 7.1949E-05 7.2844E-05 0.1
86 0.85 7.3607E-05 7.4569E-05 0.1
87 0.86 7.4386E-05 7.6282E-05 0.1
88 0.87 7.5319E-05 7.7916E-05 0.1
89 0.88 7.6681E-05 7.9675E-05 0.1
90 0.89 7.7378E-05 8.1385E-05 0.1
91 0.9 7.8581E-05 8.3153E-05 0.1
92 0.91 7.9231E-05 8.5116E-05 0.1
93 0.92 8.0579E-05 8.6739E-05 0.1
94 0.93 8.0694E-05 8.8587E-05 0.1
95 0.94 8.2011E-05 9.0034E-05 0.1
96 0.95 8.2562E-05 9.2446E-05 0.1
97 0.96 8.2324E-05 9.4618E-05 0.1
98 0.97 8.3185E-05 9.5526E-05 0.1
99 0.98 8.3373E-05 9.8244E-05 0.1
100 0.99 8.424E-05 0.000100511 0.1
101 1 8.4252E-05 0.000103054 0.1
