
VD= 0 to 1 in 0.01 step
VG= 0 to 1 in 0.2 step
NO. VG ID IG VD
 V A A V
1 0 1.41E-12 -1.102E-11 0
2 0 5.2E-13 -4.3E-13 0.01
3 0 3.23E-12 6.24E-12 0.02
4 0 -3.79E-12 7.2E-13 0.03
5 0 2.63E-12 -1.186E-11 0.04
6 0 -1.52E-12 2.3E-13 0.05
7 0 3.48E-12 2.32E-12 0.06
8 0 -1.94E-12 -7.37E-12 0.07
9 0 3.73E-12 1.25E-12 0.08
10 0 -3.73E-12 1.48E-11 0.09
11 0 7.28E-12 -5.89E-12 0.1
12 0 -4.42E-12 9.7E-13 0.11
13 0 2.38E-12 -1.61E-12 0.12
14 0 -1.5E-12 -1.1E-13 0.13
15 0 3.95E-12 -2.62E-12 0.14
16 0 -2.23E-12 8.92E-12 0.15
17 0 -1.2E-13 8.6E-13 0.16
18 0 1.22E-12 -4.18E-12 0.17
19 0 3.9E-12 -2.85E-12 0.18
20 0 -4.7E-13 9.3E-12 0.19
21 0 1.79E-12 -5.5E-12 0.2
22 0 1.81E-12 4.99E-12 0.21
23 0 2.28E-12 2.74E-12 0.22
24 0 1.37E-12 -1.11E-12 0.23
25 0 1.25E-12 -3.45E-12 0.24
26 0 -7E-14 7.1E-12 0.25
27 0 3.75E-12 1.7E-12 0.26
28 0 -4.6E-13 -7.5E-13 0.27
29 0 -8.3E-13 6.09E-12 0.28
30 0 2.92E-12 -3.19E-12 0.29
31 0 3.14E-12 -5.15E-12 0.3
32 0 -1.2E-12 7.1E-13 0.31
33 0 4.75E-12 4.16E-12 0.32
34 0 2.54E-12 2.29E-12 0.33
35 0 4.47E-12 5.33E-12 0.34
36 0 9.4E-13 -8.3E-13 0.35
37 0 2.7E-12 -4.99E-12 0.36
38 0 -3E-14 8.82E-12 0.37
39 0 6.1E-12 -2.9E-13 0.38
40 0 -1.97E-12 -4.53E-12 0.39
41 0 1.21E-12 -1.1E-12 0.4
42 0 2.02E-12 -1.91E-12 0.41
43 0 3.1E-12 -3.58E-12 0.42
44 0 -1.4E-13 5.3E-13 0.43
45 0 2.63E-12 -6.57E-12 0.44
46 0 2.2E-12 -3.25E-12 0.45
47 0 3.19E-12 -7.4E-13 0.46
48 0 4.81E-12 2.3E-12 0.47
49 0 2.4E-12 -1.37E-12 0.48
50 0 4.5E-12 7.03E-12 0.49
51 0 4.28E-12 2.51E-12 0.5
52 0 3.87E-12 -8.82E-12 0.51
53 0 6.4E-13 -7.43E-12 0.52
54 0 6.17E-12 2E-14 0.53
55 0 2.74E-12 -3.2E-13 0.54
56 0 3.11E-12 -4.63E-12 0.55
57 0 3.62E-12 -1.7E-13 0.56
58 0 3.7E-12 4.44E-12 0.57
59 0 4.07E-12 -5.24E-12 0.58
60 0 5.56E-12 -6.88E-12 0.59
61 0 2.68E-12 1.08E-12 0.6
62 0 6.67E-12 -8.84E-12 0.61
63 0 6.07E-12 3.27E-12 0.62
64 0 4.98E-12 -2.46E-12 0.63
65 0 3.21E-12 -7.41E-12 0.64
66 0 8.75E-12 -2.43E-12 0.65
67 0 6.35E-12 3.39E-12 0.66
68 0 7.02E-12 -3.7E-12 0.67
69 0 5.44E-12 -1.102E-11 0.68
70 0 7.17E-12 -6.2E-13 0.69
71 0 5.33E-12 -8.4E-13 0.7
72 0 9.69E-12 -9.75E-12 0.71
73 0 3.19E-12 -6.09E-12 0.72
74 0 9.93E-12 -3.8E-13 0.73
75 0 8.96E-12 -4.83E-12 0.74
76 0 7.46E-12 -1.136E-11 0.75
77 0 6.28E-12 -8.13E-12 0.76
78 0 1.208E-11 -6.45E-12 0.77
79 0 8.38E-12 -5E-12 0.78
80 0 1.114E-11 -1.112E-11 0.79
81 0 8.42E-12 -8.36E-12 0.8
82 0 1.15E-11 -8.24E-12 0.81
83 0 1.157E-11 -8.09E-12 0.82
84 0 8.89E-12 -1.422E-11 0.83
85 0 1.099E-11 -1.299E-11 0.84
86 0 1.21E-11 -7.07E-12 0.85
87 0 1.178E-11 -9.42E-12 0.86
88 0 1.268E-11 -1.706E-11 0.87
89 0 1.081E-11 -9.45E-12 0.88
90 0 1.499E-11 -1.37E-11 0.89
91 0 1.477E-11 -1.109E-11 0.9
92 0 1.245E-11 -1.165E-11 0.91
93 0 1.537E-11 -1.123E-11 0.92
94 0 1.675E-11 -1.533E-11 0.93
95 0 1.528E-11 -1.636E-11 0.94
96 0 1.773E-11 -1.715E-11 0.95
97 0 1.512E-11 -1.277E-11 0.96
98 0 1.995E-11 -5.49E-12 0.97
99 0 1.777E-11 -1.02E-11 0.98
100 0 1.761E-11 -2.701E-11 0.99
101 0 1.715E-11 -1.591E-11 1
102 0.2 -1.702E-11 2.808E-11 0
103 0.2 -5.93E-12 2.298E-11 0.01
104 0.2 4.01E-12 2.606E-11 0.02
105 0.2 1.233E-11 2.032E-11 0.03
106 0.2 1.509E-11 1.366E-11 0.04
107 0.2 1.785E-11 1.824E-11 0.05
108 0.2 2.135E-11 1.892E-11 0.06
109 0.2 2.589E-11 1.681E-11 0.07
110 0.2 2.204E-11 2.137E-11 0.08
111 0.2 2.622E-11 1.254E-11 0.09
112 0.2 2.584E-11 1.514E-11 0.1
113 0.2 2.704E-11 1.834E-11 0.11
114 0.2 2.537E-11 1.357E-11 0.12
115 0.2 2.6E-11 1.459E-11 0.13
116 0.2 2.602E-11 2.108E-11 0.14
117 0.2 2.875E-11 1.499E-11 0.15
118 0.2 2.514E-11 1.326E-11 0.16
119 0.2 2.577E-11 1.494E-11 0.17
120 0.2 2.852E-11 1.657E-11 0.18
121 0.2 2.721E-11 1.438E-11 0.19
122 0.2 2.795E-11 1.486E-11 0.2
123 0.2 2.602E-11 1.06E-11 0.21
124 0.2 3.012E-11 2.025E-11 0.22
125 0.2 2.735E-11 1.956E-11 0.23
126 0.2 2.914E-11 7.52E-12 0.24
127 0.2 2.561E-11 1.636E-11 0.25
128 0.2 3.013E-11 1.747E-11 0.26
129 0.2 2.706E-11 8.69E-12 0.27
130 0.2 2.821E-11 1.482E-11 0.28
131 0.2 2.526E-11 1.946E-11 0.29
132 0.2 2.928E-11 1.206E-11 0.3
133 0.2 2.84E-11 1.806E-11 0.31
134 0.2 2.713E-11 1.397E-11 0.32
135 0.2 2.739E-11 1.081E-11 0.33
136 0.2 2.907E-11 1.704E-11 0.34
137 0.2 2.975E-11 2.121E-11 0.35
138 0.2 2.862E-11 1.91E-11 0.36
139 0.2 2.256E-11 3.606E-11 0.37
140 0.2 3.336E-11 3.238E-11 0.38
141 0.2 2.539E-11 -2E-13 0.39
142 0.2 2.685E-11 9.33E-12 0.4
143 0.2 3.058E-11 2.427E-11 0.41
144 0.2 2.641E-11 6.35E-12 0.42
145 0.2 3.067E-11 9.87E-12 0.43
146 0.2 2.483E-11 2.533E-11 0.44
147 0.2 3.133E-11 7.51E-12 0.45
148 0.2 2.471E-11 7.33E-12 0.46
149 0.2 2.524E-11 8.6E-12 0.47
150 0.2 3.392E-11 1.757E-11 0.48
151 0.2 2.386E-11 1.304E-11 0.49
152 0.2 3.216E-11 1.957E-11 0.5
153 0.2 2.475E-11 5.32E-12 0.51
154 0.2 3.329E-11 1.799E-11 0.52
155 0.2 2.556E-11 1.691E-11 0.53
156 0.2 3.221E-11 2.14E-12 0.54
157 0.2 2.539E-11 7.68E-12 0.55
158 0.2 3.221E-11 2.11E-11 0.56
159 0.2 2.87E-11 8.27E-12 0.57
160 0.2 2.96E-11 1.161E-11 0.58
161 0.2 2.873E-11 1.9E-11 0.59
162 0.2 2.957E-11 7.68E-12 0.6
163 0.2 3.201E-11 1.008E-11 0.61
164 0.2 2.814E-11 1.407E-11 0.62
165 0.2 2.899E-11 1.644E-11 0.63
166 0.2 3.179E-11 1.372E-11 0.64
167 0.2 3.032E-11 2.142E-11 0.65
168 0.2 2.95E-11 1.1E-12 0.66
169 0.2 2.955E-11 8.31E-12 0.67
170 0.2 3.204E-11 2.419E-11 0.68
171 0.2 3.043E-11 5.89E-12 0.69
172 0.2 3.136E-11 8.83E-12 0.7
173 0.2 2.87E-11 1.711E-11 0.71
174 0.2 3.323E-11 1.292E-11 0.72
175 0.2 3.058E-11 7.38E-12 0.73
176 0.2 3.044E-11 1.603E-11 0.74
177 0.2 2.971E-11 1.067E-11 0.75
178 0.2 3.278E-11 1.093E-11 0.76
179 0.2 3.184E-11 1.541E-11 0.77
180 0.2 3.098E-11 8.48E-12 0.78
181 0.2 3.192E-11 8.18E-12 0.79
182 0.2 3.305E-11 1.979E-11 0.8
183 0.2 3.376E-11 8.21E-12 0.81
184 0.2 3.167E-11 7.97E-12 0.82
185 0.2 3.235E-11 1.161E-11 0.83
186 0.2 3.426E-11 1.145E-11 0.84
187 0.2 3.281E-11 8.8E-12 0.85
188 0.2 3.285E-11 6.39E-12 0.86
189 0.2 3.131E-11 8.06E-12 0.87
190 0.2 3.556E-11 1.145E-11 0.88
191 0.2 3.336E-11 8.4E-12 0.89
192 0.2 3.349E-11 6.2E-12 0.9
193 0.2 3.444E-11 1.104E-11 0.91
194 0.2 3.526E-11 9.98E-12 0.92
195 0.2 3.684E-11 3.59E-12 0.93
196 0.2 3.408E-11 1.009E-11 0.94
197 0.2 3.65E-11 5.83E-12 0.95
198 0.2 3.642E-11 7.41E-12 0.96
199 0.2 3.736E-11 1.006E-11 0.97
200 0.2 3.501E-11 1.41E-12 0.98
201 0.2 3.69E-11 9.49E-12 0.99
202 0.2 3.727E-11 7.53E-12 1
203 0.4 -2.5381E-10 4.5468E-10 0
204 0.4 6.8615E-09 4.3053E-10 0.01
205 0.4 1.2222E-08 4.1238E-10 0.02
206 0.4 1.6356E-08 3.9581E-10 0.03
207 0.4 1.948E-08 3.8401E-10 0.04
208 0.4 2.1657E-08 3.74E-10 0.05
209 0.4 2.325E-08 3.648E-10 0.06
210 0.4 2.4464E-08 3.5575E-10 0.07
211 0.4 2.5219E-08 3.4926E-10 0.08
212 0.4 2.5783E-08 3.4474E-10 0.09
213 0.4 2.6183E-08 3.4236E-10 0.1
214 0.4 2.6474E-08 3.4009E-10 0.11
215 0.4 2.664E-08 3.4257E-10 0.12
216 0.4 2.6842E-08 3.4142E-10 0.13
217 0.4 2.6923E-08 3.3701E-10 0.14
218 0.4 2.6918E-08 3.4091E-10 0.15
219 0.4 2.6967E-08 3.4242E-10 0.16
220 0.4 2.7099E-08 3.3726E-10 0.17
221 0.4 2.7006E-08 3.3366E-10 0.18
222 0.4 2.7006E-08 3.3908E-10 0.19
223 0.4 2.7126E-08 3.4209E-10 0.2
224 0.4 2.7038E-08 3.3538E-10 0.21
225 0.4 2.7029E-08 3.3618E-10 0.22
226 0.4 2.7089E-08 3.3761E-10 0.23
227 0.4 2.7058E-08 3.3642E-10 0.24
228 0.4 2.7053E-08 3.3577E-10 0.25
229 0.4 2.7064E-08 3.3528E-10 0.26
230 0.4 2.7097E-08 3.3742E-10 0.27
231 0.4 2.706E-08 3.3305E-10 0.28
232 0.4 2.7068E-08 3.3337E-10 0.29
233 0.4 2.7146E-08 3.335E-10 0.3
234 0.4 2.7061E-08 3.3653E-10 0.31
235 0.4 2.7071E-08 3.3704E-10 0.32
236 0.4 2.7061E-08 3.3729E-10 0.33
237 0.4 2.708E-08 3.3546E-10 0.34
238 0.4 2.7063E-08 3.3554E-10 0.35
239 0.4 2.7165E-08 3.3874E-10 0.36
240 0.4 2.7074E-08 3.3421E-10 0.37
241 0.4 2.7065E-08 3.3312E-10 0.38
242 0.4 2.7059E-08 3.3289E-10 0.39
243 0.4 2.7069E-08 3.3363E-10 0.4
244 0.4 2.7069E-08 3.3133E-10 0.41
245 0.4 2.7079E-08 3.3034E-10 0.42
246 0.4 2.7067E-08 3.3389E-10 0.43
247 0.4 2.7055E-08 3.3537E-10 0.44
248 0.4 2.7087E-08 3.3757E-10 0.45
249 0.4 2.7126E-08 3.3722E-10 0.46
250 0.4 2.7076E-08 3.4035E-10 0.47
251 0.4 2.7062E-08 3.4079E-10 0.48
252 0.4 2.7204E-08 3.3847E-10 0.49
253 0.4 2.7072E-08 3.3798E-10 0.5
254 0.4 2.7067E-08 3.3883E-10 0.51
255 0.4 2.7121E-08 3.3759E-10 0.52
256 0.4 2.707E-08 3.3226E-10 0.53
257 0.4 2.7079E-08 3.3334E-10 0.54
258 0.4 2.7087E-08 3.3852E-10 0.55
259 0.4 2.7095E-08 3.3896E-10 0.56
260 0.4 2.7079E-08 3.3701E-10 0.57
261 0.4 2.7063E-08 3.3933E-10 0.58
262 0.4 2.7062E-08 3.4092E-10 0.59
263 0.4 2.7063E-08 3.3854E-10 0.6
264 0.4 2.7063E-08 3.3324E-10 0.61
265 0.4 2.708E-08 3.3439E-10 0.62
266 0.4 2.7079E-08 3.348E-10 0.63
267 0.4 2.7091E-08 3.3409E-10 0.64
268 0.4 2.7065E-08 3.3435E-10 0.65
269 0.4 2.7055E-08 3.3765E-10 0.66
270 0.4 2.7063E-08 3.4223E-10 0.67
271 0.4 2.7065E-08 3.3877E-10 0.68
272 0.4 2.7064E-08 3.3981E-10 0.69
273 0.4 2.7072E-08 3.3895E-10 0.7
274 0.4 2.7074E-08 3.3871E-10 0.71
275 0.4 2.7077E-08 3.3575E-10 0.72
276 0.4 2.707E-08 3.3284E-10 0.73
277 0.4 2.7078E-08 3.3491E-10 0.74
278 0.4 2.7061E-08 3.3201E-10 0.75
279 0.4 2.7068E-08 3.319E-10 0.76
280 0.4 2.7063E-08 3.3264E-10 0.77
281 0.4 2.7073E-08 3.3717E-10 0.78
282 0.4 2.7079E-08 3.362E-10 0.79
283 0.4 2.7065E-08 3.3498E-10 0.8
284 0.4 2.7072E-08 3.3521E-10 0.81
285 0.4 2.7074E-08 3.378E-10 0.82
286 0.4 2.7078E-08 3.3978E-10 0.83
287 0.4 2.7078E-08 3.3995E-10 0.84
288 0.4 2.7075E-08 3.3723E-10 0.85
289 0.4 2.7076E-08 3.3612E-10 0.86
290 0.4 2.7091E-08 3.3607E-10 0.87
291 0.4 2.7093E-08 3.3103E-10 0.88
292 0.4 2.7087E-08 3.3002E-10 0.89
293 0.4 2.7076E-08 3.3391E-10 0.9
294 0.4 2.7089E-08 3.3467E-10 0.91
295 0.4 2.7088E-08 3.3211E-10 0.92
296 0.4 2.7085E-08 3.3369E-10 0.93
297 0.4 2.7094E-08 3.3489E-10 0.94
298 0.4 2.7108E-08 3.3629E-10 0.95
299 0.4 2.7087E-08 3.3636E-10 0.96
300 0.4 2.7087E-08 3.3505E-10 0.97
301 0.4 2.7093E-08 3.3574E-10 0.98
302 0.4 2.7088E-08 3.3507E-10 0.99
303 0.4 2.7107E-08 3.3513E-10 1
304 0.6 -1.4479E-09 2.7744E-09 0
305 0.6 7.871E-08 2.67E-09 0.01
306 0.6 1.5355E-07 2.5717E-09 0.02
307 0.6 2.2365E-07 2.4755E-09 0.03
308 0.6 2.8807E-07 2.3916E-09 0.04
309 0.6 3.4806E-07 2.3096E-09 0.05
310 0.6 4.0267E-07 2.2305E-09 0.06
311 0.6 4.5288E-07 2.1562E-09 0.07
