
VD= 0 to 1 in 0.01 step
VG= 0 to 1 in 0.2 step
NO. VG ID IG VD
 V A A V
1 0 -6.391E-10 -6.319E-11 0
2 0 2.0963E-07 -2.4148E-09 0.01
3 0 4.1978E-07 -4.4989E-09 0.02
4 0 6.3197E-07 -6.718E-09 0.03
5 0 8.4479E-07 -8.9145E-09 0.04
6 0 1.0599E-06 -1.0993E-08 0.05
7 0 1.2806E-06 -1.3352E-08 0.06
8 0 1.506E-06 -1.5855E-08 0.07
9 0 1.7313E-06 -1.8014E-08 0.08
10 0 1.9671E-06 -1.8673E-08 0.09
11 0 2.2012E-06 -2.1219E-08 0.1
12 0 2.4455E-06 -2.3639E-08 0.11
13 0 2.6901E-06 -2.6117E-08 0.12
14 0 2.9408E-06 -2.9428E-08 0.13
15 0 3.2023E-06 -3.2384E-08 0.14
16 0 3.4633E-06 -3.4963E-08 0.15
17 0 3.731E-06 -3.7516E-08 0.16
18 0 4.0031E-06 -4.0369E-08 0.17
19 0 4.2778E-06 -4.3721E-08 0.18
20 0 4.5573E-06 -4.664E-08 0.19
21 0 4.8485E-06 -4.9755E-08 0.2
22 0 5.1355E-06 -5.284E-08 0.21
23 0 5.4305E-06 -5.6763E-08 0.22
24 0 5.7379E-06 -5.9907E-08 0.23
25 0 6.0399E-06 -6.3958E-08 0.24
26 0 6.36E-06 -6.7937E-08 0.25
27 0 6.6743E-06 -7.1978E-08 0.26
28 0 7.0018E-06 -7.5922E-08 0.27
29 0 7.3406E-06 -8.0502E-08 0.28
30 0 7.6689E-06 -8.4622E-08 0.29
31 0 7.9998E-06 -9.0698E-08 0.3
32 0 8.352E-06 -9.635E-08 0.31
33 0 8.7025E-06 -1.02301E-07 0.32
34 0 9.0581E-06 -1.08308E-07 0.33
35 0 9.432E-06 -1.14592E-07 0.34
36 0 9.7975E-06 -1.2063E-07 0.35
37 0 1.01564E-05 -1.269E-07 0.36
38 0 1.05466E-05 -1.356E-07 0.37
39 0 1.09293E-05 -1.263E-07 0.38
40 0 1.13202E-05 -1.3236E-07 0.39
41 0 1.1741E-05 -1.5799E-07 0.4
42 0 1.2153E-05 -1.6548E-07 0.41
43 0 1.2596E-05 -1.72E-07 0.42
44 0 1.2965E-05 -1.8309E-07 0.43
45 0 1.3424E-05 -1.898E-07 0.44
46 0 1.3888E-05 -1.9926E-07 0.45
47 0 1.4299E-05 -2.0222E-07 0.46
48 0 1.4744E-05 -2.1486E-07 0.47
49 0 1.5209E-05 -2.2491E-07 0.48
50 0 1.5624E-05 -2.3293E-07 0.49
51 0 1.6136E-05 -2.4434E-07 0.5
52 0 1.66E-05 -2.532E-07 0.51
53 0 1.7079E-05 -2.6547E-07 0.52
54 0 1.759E-05 -2.7431E-07 0.53
55 0 1.8076E-05 -2.8823E-07 0.54
56 0 1.8574E-05 -2.9626E-07 0.55
57 0 1.9102E-05 -3.0901E-07 0.56
58 0 1.9636E-05 -3.1147E-07 0.57
59 0 2.0136E-05 -3.3391E-07 0.58
60 0 2.062E-05 -3.4987E-07 0.59
61 0 2.1143E-05 -3.6549E-07 0.6
62 0 2.1748E-05 -3.7816E-07 0.61
63 0 2.2323E-05 -3.9394E-07 0.62
64 0 2.2892E-05 -4.0879E-07 0.63
65 0 2.3427E-05 -4.1875E-07 0.64
66 0 2.4052E-05 -4.3606E-07 0.65
67 0 2.4613E-05 -4.5403E-07 0.66
68 0 2.5218E-05 -4.7131E-07 0.67
69 0 2.5834E-05 -4.9546E-07 0.68
70 0 2.6456E-05 -5.1126E-07 0.69
71 0 2.7088E-05 -5.3084E-07 0.7
72 0 2.7753E-05 -5.5705E-07 0.71
73 0 2.8445E-05 -5.7905E-07 0.72
74 0 2.9132E-05 -6.0637E-07 0.73
75 0 2.9813E-05 -6.266E-07 0.74
76 0 3.0595E-05 -6.5431E-07 0.75
77 0 3.126E-05 -6.7814E-07 0.76
78 0 3.1961E-05 -7.1038E-07 0.77
79 0 3.2777E-05 -7.3926E-07 0.78
80 0 3.3444E-05 -7.7446E-07 0.79
81 0 3.4235E-05 -8.3183E-07 0.8
82 0 3.5052E-05 -8.4973E-07 0.81
83 0 3.5847E-05 -9.1385E-07 0.82
84 0 3.6714E-05 -9.3165E-07 0.83
