
VG= 0 to 1 in 0,01 step
VD= 0,1 to 1 in 0,9 step
NO, VG ID IG VD
 V A A V
1 0 2,0368E-06 -2,0384E-06 0,1
2 0,01 1,8158E-06 -1,8158E-06 0,1
3 0,02 1,5941E-06 -1,5977E-06 0,1
4 0,03 1,3885E-06 -1,3886E-06 0,1
5 0,04 1,1809E-06 -1,1771E-06 0,1
6 0,05 9,8036E-07 -9,7979E-07 0,1
7 0,06 7,773E-07 -7,7902E-07 0,1
8 0,07 5,8239E-07 -5,8278E-07 0,1
9 0,08 3,8707E-07 -3,8649E-07 0,1
10 0,09 1,9247E-07 -1,9163E-07 0,1
11 0,1 -4,8586E-10 1,0941E-09 0,1
12 0,11 -1,9361E-07 1,9624E-07 0,1
13 0,12 -3,894E-07 3,9067E-07 0,1
14 0,13 -5,8682E-07 5,8782E-07 0,1
15 0,14 -7,8358E-07 7,8513E-07 0,1
16 0,15 -9,8909E-07 9,9058E-07 0,1
17 0,16 -1,1926E-06 1,1957E-06 0,1
18 0,17 -1,3998E-06 1,4061E-06 0,1
19 0,18 -1,6182E-06 1,6239E-06 0,1
20 0,19 -1,8355E-06 1,8428E-06 0,1
21 0,2 -2,0597E-06 2,0698E-06 0,1
22 0,21 -2,2883E-06 2,3018E-06 0,1
23 0,22 -2,5217E-06 2,5405E-06 0,1
24 0,23 -2,7595E-06 2,7882E-06 0,1
25 0,24 -2,9998E-06 3,03E-06 0,1
26 0,25 -3,2434E-06 3,2912E-06 0,1
27 0,26 -3,4863E-06 3,5546E-06 0,1
28 0,27 -3,7323E-06 3,8189E-06 0,1
29 0,28 -3,9673E-06 4,0952E-06 0,1
30 0,29 -4,2017E-06 4,3757E-06 0,1
31 0,3 -4,4253E-06 4,6623E-06 0,1
32 0,31 -4,6324E-06 4,9544E-06 0,1
33 0,32 -4,8182E-06 5,2495E-06 0,1
34 0,33 -4,9702E-06 5,5493E-06 0,1
35 0,34 -5,0752E-06 5,8642E-06 0,1
36 0,35 -5,099E-06 6,1456E-06 0,1
37 0,36 -5,1133E-06 6,5023E-06 0,1
38 0,37 -5,0256E-06 6,824E-06 0,1
39 0,38 -4,8443E-06 7,1631E-06 0,1
40 0,39 -4,5604E-06 7,5169E-06 0,1
41 0,4 -4,2061E-06 7,8638E-06 0,1
42 0,41 -3,698E-06 8,2242E-06 0,1
43 0,42 -3,0742E-06 8,5875E-06 0,1
44 0,43 -2,2667E-06 8,9616E-06 0,1
45 0,44 -1,3241E-06 9,3365E-06 0,1
46 0,45 -2,1457E-07 9,7232E-06 0,1
47 0,46 9,5746E-07 1,01108E-05 0,1
48 0,47 2,293E-06 1,05125E-05 0,1
49 0,48 3,8091E-06 1,09241E-05 0,1
50 0,49 5,375E-06 1,13397E-05 0,1
51 0,5 7,1654E-06 1,1768E-05 0,1
52 0,51 8,9674E-06 1,2202E-05 0,1
53 0,52 1,09763E-05 1,2653E-05 0,1
54 0,53 1,2881E-05 1,3094E-05 0,1
55 0,54 1,5074E-05 1,355E-05 0,1
56 0,55 1,728E-05 1,4024E-05 0,1
57 0,56 1,9472E-05 1,4472E-05 0,1
58 0,57 2,1786E-05 1,4991E-05 0,1
59 0,58 2,3994E-05 1,5491E-05 0,1
60 0,59 2,6427E-05 1,5923E-05 0,1
61 0,6 2,8726E-05 1,6501E-05 0,1
62 0,61 3,1181E-05 1,696E-05 0,1
63 0,62 3,3475E-05 1,7454E-05 0,1
64 0,63 3,5998E-05 1,7927E-05 0,1
65 0,64 3,8403E-05 1,8617E-05 0,1
66 0,65 4,0608E-05 1,919E-05 0,1
67 0,66 4,2927E-05 1,9762E-05 0,1
68 0,67 4,5345E-05 2,0475E-05 0,1
69 0,68 4,7759E-05 2,1083E-05 0,1
70 0,69 5,002E-05 2,1689E-05 0,1
71 0,7 5,2905E-05 2,2351E-05 0,1
72 0,71 5,4569E-05 2,2876E-05 0,1
73 0,72 5,6803E-05 2,3726E-05 0,1
74 0,73 5,9073E-05 2,4347E-05 0,1
75 0,74 6,1173E-05 2,4893E-05 0,1
76 0,75 6,3466E-05 2,5855E-05 0,1
77 0,76 6,579E-05 2,6591E-05 0,1
78 0,77 6,7765E-05 2,737E-05 0,1
79 0,78 6,9816E-05 2,7989E-05 0,1
80 0,79 7,1655E-05 2,9084E-05 0,1
81 0,8 7,372E-05 2,9835E-05 0,1
82 0,81 7,5649E-05 3,075E-05 0,1
83 0,82 7,7551E-05 3,1633E-05 0,1
84 0,83 7,9152E-05 3,2541E-05 0,1
85 0,84 8,1082E-05 3,3462E-05 0,1
86 0,85 8,251E-05 3,4661E-05 0,1
87 0,86 8,4322E-05 3,5639E-05 0,1
88 0,87 8,5781E-05 3,6517E-05 0,1
89 0,88 8,723E-05 3,7892E-05 0,1
90 0,89 8,8442E-05 3,9563E-05 0,1
91 0,9 8,9425E-05 4,0401E-05 0,1
92 0,91 9,0547E-05 4,2034E-05 0,1
93 0,92 9,191E-05 4,2295E-05 0,1
94 0,93 9,308E-05 4,429E-05 0,1
95 0,94 9,4273E-05 4,6004E-05 0,1
96 0,95 9,4544E-05 4,7248E-05 0,1
97 0,96 9,4944E-05 4,89E-05 0,1
98 0,97 9,6224E-05 5,0053E-05 0,1
99 0,98 9,6966E-05 5,1775E-05 0,1
100 0,99 9,727E-05 5,3376E-05 0,1
101 1 9,7704E-05 5,5404E-05 0,1
102 0 6,1633E-05 -6,3872E-05 1
103 0,01 6,0807E-05 -6,1336E-05 1
104 0,02 5,9745E-05 -6,025E-05 1
105 0,03 5,7812E-05 -5,7628E-05 1
106 0,04 5,6206E-05 -5,6555E-05 1
107 0,05 5,4574E-05 -5,4737E-05 1
108 0,06 5,27E-05 -5,2822E-05 1
109 0,07 5,145E-05 -5,1629E-05 1
110 0,08 4,9476E-05 -5,0229E-05 1
111 0,09 4,8593E-05 -4,8519E-05 1
112 0,1 4,7278E-05 -4,7447E-05 1
113 0,11 4,592E-05 -4,5591E-05 1
114 0,12 4,4472E-05 -4,4713E-05 1
115 0,13 4,3007E-05 -4,3476E-05 1
116 0,14 4,2455E-05 -4,2105E-05 1
117 0,15 4,1453E-05 -4,1255E-05 1
118 0,16 4,0187E-05 -4,0134E-05 1
119 0,17 3,9061E-05 -3,8864E-05 1
120 0,18 3,7422E-05 -3,7962E-05 1
121 0,19 3,6793E-05 -3,6535E-05 1
122 0,2 3,5386E-05 -3,5429E-05 1
123 0,21 3,503E-05 -3,5147E-05 1
124 0,22 3,4436E-05 -3,4075E-05 1
125 0,23 3,303E-05 -3,2898E-05 1
126 0,24 3,3015E-05 -3,2393E-05 1
127 0,25 3,1545E-05 -3,2113E-05 1
128 0,26 3,1101E-05 -3,0806E-05 1
129 0,27 3,0595E-05 -3,0398E-05 1
130 0,28 2,9806E-05 -2,905E-05 1
131 0,29 2,8527E-05 -2,8258E-05 1
132 0,3 2,8061E-05 -2,7513E-05 1
133 0,31 2,7502E-05 -2,6957E-05 1
134 0,32 2,735E-05 -2,6602E-05 1
135 0,33 2,6906E-05 -2,5838E-05 1
136 0,34 2,6554E-05 -2,5208E-05 1
137 0,35 2,6305E-05 -2,4551E-05 1
138 0,36 2,6289E-05 -2,3966E-05 1
139 0,37 2,6288E-05 -2,3326E-05 1
140 0,38 2,6543E-05 -2,2732E-05 1
141 0,39 2,6861E-05 -2,2131E-05 1
142 0,4 2,7459E-05 -2,1631E-05 1
143 0,41 2,8354E-05 -2,1099E-05 1
144 0,42 2,9417E-05 -2,0578E-05 1
145 0,43 3,0663E-05 -1,9948E-05 1
146 0,44 3,2278E-05 -1,9467E-05 1
147 0,45 3,4111E-05 -1,8772E-05 1
148 0,46 3,6352E-05 -1,8295E-05 1
149 0,47 3,8725E-05 -1,776E-05 1
150 0,48 4,1573E-05 -1,7256E-05 1
151 0,49 4,458E-05 -1,676E-05 1
152 0,5 4,8102E-05 -1,6198E-05 1
153 0,51 5,1759E-05 -1,5725E-05 1
154 0,52 5,5948E-05 -1,5212E-05 1
155 0,53 6,0233E-05 -1,4766E-05 1
156 0,54 6,4937E-05 -1,425E-05 1
157 0,55 6,9985E-05 -1,3781E-05 1
158 0,56 7,5053E-05 -1,3334E-05 1
159 0,57 8,0552E-05 -1,2887E-05 1
160 0,58 8,6205E-05 -1,2433E-05 1
161 0,59 9,2315E-05 -1,1996E-05 1
162 0,6 9,8438E-05 -1,1574E-05 1
163 0,61 0,000104989 -1,12E-05 1
164 0,62 0,000111569 -1,0787E-05 1
165 0,63 0,00011824 -1,0318E-05 1
166 0,64 0,00012527 -9,9918E-06 1
167 0,65 0,00013266 -9,6608E-06 1
168 0,66 0,00013996 -9,196E-06 1
169 0,67 0,00014746 -8,7555E-06 1
170 0,68 0,00015516 -8,3814E-06 1
171 0,69 0,00016297 -8,0096E-06 1
172 0,7 0,00017091 -7,6612E-06 1
173 0,71 0,00017872 -7,2994E-06 1
174 0,72 0,00018675 -6,9719E-06 1
175 0,73 0,00019497 -6,6377E-06 1
176 0,74 0,0002032 -6,3789E-06 1
177 0,75 0,00021164 -5,9866E-06 1
178 0,76 0,00021955 -5,7353E-06 1
179 0,77 0,00022821 -5,3586E-06 1
180 0,78 0,0002366 -5,0664E-06 1
181 0,79 0,00024513 -4,7742E-06 1
182 0,8 0,00025369 -4,4877E-06 1
183 0,81 0,00026234 -4,2067E-06 1
184 0,82 0,00027107 -3,9309E-06 1
185 0,83 0,00027955 -3,6678E-06 1
186 0,84 0,00028836 -3,4067E-06 1
187 0,85 0,00029707 -3,1554E-06 1
188 0,86 0,00030579 -2,9068E-06 1
189 0,87 0,00031465 -2,6658E-06 1
190 0,88 0,00032346 -2,4349E-06 1
191 0,89 0,00033211 -2,21E-06 1
192 0,9 0,00034097 -1,9825E-06 1
193 0,91 0,00034969 -1,7886E-06 1
194 0,92 0,00035849 -1,5597E-06 1
195 0,93 0,00036747 -1,3503E-06 1
196 0,94 0,00037632 -1,1492E-06 1
197 0,95 0,00038506 -9,4867E-07 1
198 0,96 0,00039384 -7,5173E-07 1
199 0,97 0,00040258 -5,5521E-07 1
200 0,98 0,00041137 -3,601E-07 1
201 0,99 0,00042006 -1,6369E-07 1
202 1 0,00042874 3,3892E-08 1
