
VG= 0 to 1 in 0,01 step
NO, VG ID IG VD
 V A A V
1 0 5,8788E-10 -1E-12 0,1
2 0,01 8,0339E-10 1,01E-11 0,1
3 0,02 1,09533E-09 1,38E-12 0,1
4 0,03 1,4952E-09 5,43E-12 0,1
5 0,04 2,0434E-09 6,5E-13 0,1
6 0,05 2,7824E-09 -6,98E-12 0,1
7 0,06 3,7849E-09 -1,5E-13 0,1
8 0,07 5,1123E-09 -9E-14 0,1
9 0,08 6,9466E-09 7,8E-13 0,1
10 0,09 9,4876E-09 -2,26E-12 0,1
11 0,1 1,2827E-08 -8,9E-13 0,1
12 0,11 1,7366E-08 8,86E-12 0,1
13 0,12 2,3492E-08 6,42E-12 0,1
14 0,13 3,1879E-08 1,05E-12 0,1
15 0,14 4,2788E-08 6E-14 0,1
16 0,15 5,7775E-08 -1,14E-12 0,1
17 0,16 7,7525E-08 4,22E-12 0,1
18 0,17 1,04406E-07 5,05E-12 0,1
19 0,18 1,3997E-07 -5,31E-12 0,1
20 0,19 1,8679E-07 -2,53E-12 0,1
21 0,2 2,4967E-07 9,39E-12 0,1
22 0,21 3,3248E-07 -9,9E-13 0,1
23 0,22 4,3869E-07 -8,29E-12 0,1
24 0,23 5,7781E-07 -6,3E-12 0,1
25 0,24 7,6332E-07 1,027E-11 0,1
26 0,25 9,9602E-07 1,78E-12 0,1
27 0,26 1,2965E-06 -2,37E-12 0,1
28 0,27 1,6752E-06 -2,1E-13 0,1
29 0,28 2,1466E-06 1,85E-12 0,1
30 0,29 2,7458E-06 -2,8E-13 0,1
31 0,3 3,4776E-06 -9,9E-13 0,1
32 0,31 4,3636E-06 1,09E-12 0,1
33 0,32 5,449E-06 4,82E-12 0,1
34 0,33 6,7301E-06 1,74E-12 0,1
35 0,34 8,2493E-06 3,58E-12 0,1
36 0,35 1,00285E-05 4,85E-12 0,1
37 0,36 1,2082E-05 -2,3E-12 0,1
38 0,37 1,4351E-05 8,52E-12 0,1
39 0,38 1,7059E-05 1,29E-12 0,1
40 0,39 2,0054E-05 -7,18E-12 0,1
41 0,4 2,3367E-05 -4,8E-13 0,1
42 0,41 2,6911E-05 6,28E-12 0,1
43 0,42 3,0878E-05 7,81E-12 0,1
44 0,43 3,5124E-05 1,24E-12 0,1
45 0,44 3,901E-05 5,36E-12 0,1
46 0,45 4,4071E-05 6,81E-12 0,1
47 0,46 4,868E-05 1,74E-12 0,1
48 0,47 5,3738E-05 1E-11 0,1
49 0,48 5,8969E-05 1,049E-11 0,1
50 0,49 6,4226E-05 -4,62E-12 0,1
51 0,5 6,9892E-05 -6,14E-12 0,1
52 0,51 7,5452E-05 8,71E-12 0,1
53 0,52 8,1111E-05 1,542E-11 0,1
54 0,53 8,697E-05 -3,54E-12 0,1
55 0,54 9,2742E-05 -3,98E-12 0,1
56 0,55 9,8563E-05 1,473E-11 0,1
57 0,56 0,000104511 1,387E-11 0,1
58 0,57 0,000110376 3,73E-12 0,1
59 0,58 0,00011633 1,283E-11 0,1
60 0,59 0,00012223 1,995E-11 0,1
61 0,6 0,00012804 4,53E-12 0,1
62 0,61 0,00013395 -6,84E-12 0,1
63 0,62 0,00013966 7,43E-12 0,1
64 0,63 0,00014533 2,561E-11 0,1
65 0,64 0,00015098 -6,63E-12 0,1
66 0,65 0,00015664 -5,38E-12 0,1
67 0,66 0,0001623 2,382E-11 0,1
68 0,67 0,00016777 2,672E-11 0,1
69 0,68 0,00017316 8E-13 0,1
70 0,69 0,00017856 6,79E-12 0,1
71 0,7 0,00018389 3,429E-11 0,1
72 0,71 0,00018875 2,452E-11 0,1
73 0,72 0,00019397 6,63E-12 0,1
74 0,73 0,00019895 1,156E-11 0,1
75 0,74 0,00020394 2,91E-11 0,1
76 0,75 0,00020897 2,129E-11 0,1
77 0,76 0,0002138 1,361E-11 0,1
78 0,77 0,00021832 2,369E-11 0,1
79 0,78 0,00022303 3,137E-11 0,1
80 0,79 0,00022762 2,716E-11 0,1
81 0,8 0,00023209 2,441E-11 0,1
82 0,81 0,00023697 3,66E-11 0,1
83 0,82 0,0002411 4,039E-11 0,1
84 0,83 0,00024527 3,567E-11 0,1
85 0,84 0,00024966 3,895E-11 0,1
86 0,85 0,00025399 4,571E-11 0,1
87 0,86 0,00025778 4,781E-11 0,1
88 0,87 0,00026205 4,429E-11 0,1
89 0,88 0,00026618 5,046E-11 0,1
90 0,89 0,00026979 5,976E-11 0,1
91 0,9 0,00027377 5,934E-11 0,1
92 0,91 0,00027754 6,197E-11 0,1
93 0,92 0,00028119 7,378E-11 0,1
94 0,93 0,00028476 7,687E-11 0,1
95 0,94 0,00028823 7,529E-11 0,1
96 0,95 0,00029156 8,585E-11 0,1
97 0,96 0,00029514 9,317E-11 0,1
98 0,97 0,00029862 9,422E-11 0,1
99 0,98 0,00030192 1,0346E-10 0,1
100 0,99 0,00030492 1,1288E-10 0,1
101 1 0,0003082 1,1595E-10 0,1
