
VG= 0 to 1 in 0,01 step
NO, VG ID IG VD
 V A A V
1 0 2,1306E-06 -2,1359E-06 0,1
2 0,01 1,9073E-06 -1,9061E-06 0,1
3 0,02 1,68E-06 -1,6797E-06 0,1
4 0,03 1,4537E-06 -1,4643E-06 0,1
5 0,04 1,2429E-06 -1,241E-06 0,1
6 0,05 1,0321E-06 -1,0317E-06 0,1
7 0,06 8,2352E-07 -8,1848E-07 0,1
8 0,07 6,1202E-07 -6,1152E-07 0,1
9 0,08 4,0686E-07 -4,0607E-07 0,1
10 0,09 2,0214E-07 -2,0129E-07 0,1
11 0,1 -4,7541E-10 1,0969E-09 0,1
12 0,11 -2,0264E-07 2,0571E-07 0,1
13 0,12 -4,0781E-07 4,0907E-07 0,1
14 0,13 -6,1519E-07 6,168E-07 0,1
15 0,14 -8,1868E-07 8,2166E-07 0,1
16 0,15 -1,03256E-06 1,03794E-06 0,1
17 0,16 -1,2456E-06 1,2492E-06 0,1
18 0,17 -1,4637E-06 1,4673E-06 0,1
19 0,18 -1,6845E-06 1,6924E-06 0,1
20 0,19 -1,9131E-06 1,9159E-06 0,1
21 0,2 -2,1388E-06 2,1474E-06 0,1
22 0,21 -2,378E-06 2,3897E-06 0,1
23 0,22 -2,6103E-06 2,6269E-06 0,1
24 0,23 -2,8527E-06 2,8783E-06 0,1
25 0,24 -3,097E-06 3,1309E-06 0,1
26 0,25 -3,3432E-06 3,3973E-06 0,1
27 0,26 -3,5905E-06 3,6555E-06 0,1
28 0,27 -3,8363E-06 3,9268E-06 0,1
29 0,28 -4,0831E-06 4,212E-06 0,1
30 0,29 -4,3183E-06 4,4874E-06 0,1
31 0,3 -4,5569E-06 4,7786E-06 0,1
32 0,31 -4,7673E-06 5,0721E-06 0,1
33 0,32 -4,9385E-06 5,3721E-06 0,1
34 0,33 -5,0958E-06 5,681E-06 0,1
35 0,34 -5,2168E-06 5,9918E-06 0,1
36 0,35 -5,2839E-06 6,3087E-06 0,1
37 0,36 -5,2753E-06 6,6376E-06 0,1
38 0,37 -5,2311E-06 6,9642E-06 0,1
39 0,38 -5,0323E-06 7,3049E-06 0,1
40 0,39 -4,7628E-06 7,6417E-06 0,1
41 0,4 -4,3984E-06 8,0075E-06 0,1
42 0,41 -3,8983E-06 8,3529E-06 0,1
43 0,42 -3,2635E-06 8,7205E-06 0,1
44 0,43 -2,4816E-06 9,0961E-06 0,1
45 0,44 -1,5658E-06 9,4835E-06 0,1
46 0,45 -4,7885E-07 9,8705E-06 0,1
47 0,46 7,2946E-07 1,02605E-05 0,1
48 0,47 2,0554E-06 1,06648E-05 0,1
49 0,48 3,5199E-06 1,10616E-05 0,1
50 0,49 5,1746E-06 1,1481E-05 0,1
51 0,5 6,9103E-06 1,1923E-05 0,1
52 0,51 8,722E-06 1,2348E-05 0,1
53 0,52 1,06704E-05 1,2777E-05 0,1
54 0,53 1,2626E-05 1,3267E-05 0,1
55 0,54 1,4717E-05 1,3728E-05 0,1
56 0,55 1,6798E-05 1,4191E-05 0,1
57 0,56 1,9102E-05 1,4676E-05 0,1
58 0,57 2,1328E-05 1,5175E-05 0,1
59 0,58 2,3648E-05 1,5681E-05 0,1
60 0,59 2,6073E-05 1,6187E-05 0,1
61 0,6 2,8401E-05 1,6683E-05 0,1
62 0,61 3,0823E-05 1,7239E-05 0,1
63 0,62 3,3026E-05 1,7815E-05 0,1
64 0,63 3,5448E-05 1,8308E-05 0,1
65 0,64 3,7887E-05 1,8939E-05 0,1
66 0,65 4,0209E-05 1,9505E-05 0,1
67 0,66 4,2317E-05 2,0307E-05 0,1
68 0,67 4,4785E-05 2,0932E-05 0,1
69 0,68 4,7035E-05 2,1227E-05 0,1
70 0,69 4,9295E-05 2,2186E-05 0,1
71 0,7 5,2101E-05 2,2798E-05 0,1
72 0,71 5,3874E-05 2,3539E-05 0,1
73 0,72 5,6154E-05 2,4187E-05 0,1
74 0,73 5,8555E-05 2,4638E-05 0,1
75 0,74 6,0866E-05 2,532E-05 0,1
76 0,75 6,3074E-05 2,6139E-05 0,1
77 0,76 6,5034E-05 2,6982E-05 0,1
78 0,77 6,7032E-05 2,7717E-05 0,1
79 0,78 6,9322E-05 2,8561E-05 0,1
80 0,79 7,1228E-05 2,9443E-05 0,1
81 0,8 7,3295E-05 3,0367E-05 0,1
82 0,81 7,5224E-05 3,1007E-05 0,1
83 0,82 7,6743E-05 3,2094E-05 0,1
84 0,83 7,8589E-05 3,3087E-05 0,1
85 0,84 8,0451E-05 3,3962E-05 0,1
86 0,85 8,2049E-05 3,4974E-05 0,1
87 0,86 8,3841E-05 3,5793E-05 0,1
88 0,87 8,5211E-05 3,6971E-05 0,1
89 0,88 8,6375E-05 3,8225E-05 0,1
90 0,89 8,7907E-05 3,9328E-05 0,1
91 0,9 8,949E-05 4,062E-05 0,1
92 0,91 9,0576E-05 4,1637E-05 0,1
93 0,92 9,193E-05 4,2972E-05 0,1
94 0,93 9,2934E-05 4,4121E-05 0,1
95 0,94 9,4037E-05 4,5295E-05 0,1
96 0,95 9,4898E-05 4,6927E-05 0,1
97 0,96 9,597E-05 4,8128E-05 0,1
98 0,97 9,6722E-05 4,906E-05 0,1
99 0,98 9,7784E-05 5,2105E-05 0,1
100 0,99 9,8335E-05 5,2127E-05 0,1
101 1 9,84E-05 5,5175E-05 0,1
