
VG= 0 to 1 in 0,01 step
NO, VG ID IG VD
 V A A V
1 0 8,0076E-08 -1,6008E-08 0,1
2 0,01 8,018E-08 1,598E-08 0,1
3 0,02 7,8163E-08 4,5818E-08 0,1
4 0,03 7,654E-08 7,8265E-08 0,1
5 0,04 7,5624E-08 1,11128E-07 0,1
6 0,05 7,3684E-08 1,4397E-07 0,1
7 0,06 7,1761E-08 1,8005E-07 0,1
8 0,07 7,0375E-08 2,1656E-07 0,1
9 0,08 6,8839E-08 2,5675E-07 0,1
10 0,09 6,7809E-08 2,9812E-07 0,1
11 0,1 6,5638E-08 3,4114E-07 0,1
12 0,11 6,4366E-08 3,884E-07 0,1
13 0,12 6,3265E-08 4,3745E-07 0,1
14 0,13 6,0942E-08 4,8813E-07 0,1
15 0,14 5,9833E-08 5,4471E-07 0,1
16 0,15 5,8017E-08 6,0077E-07 0,1
17 0,16 5,6343E-08 6,6235E-07 0,1
18 0,17 5,5822E-08 7,2737E-07 0,1
19 0,18 5,374E-08 7,9332E-07 0,1
20 0,19 5,3562E-08 8,6508E-07 0,1
21 0,2 5,3918E-08 9,402E-07 0,1
22 0,21 5,3076E-08 1,01569E-06 0,1
23 0,22 5,5275E-08 1,09839E-06 0,1
24 0,23 5,7647E-08 1,185E-06 0,1
25 0,24 6,3498E-08 1,271E-06 0,1
26 0,25 7,0657E-08 1,361E-06 0,1
27 0,26 8,3234E-08 1,4596E-06 0,1
28 0,27 9,9636E-08 1,5606E-06 0,1
29 0,28 1,2465E-07 1,6643E-06 0,1
30 0,29 1,5937E-07 1,7678E-06 0,1
31 0,3 2,0563E-07 1,8792E-06 0,1
32 0,31 2,689E-07 1,9956E-06 0,1
33 0,32 3,4829E-07 2,1143E-06 0,1
34 0,33 4,5798E-07 2,2393E-06 0,1
35 0,34 6,0799E-07 2,3606E-06 0,1
36 0,35 7,9115E-07 2,501E-06 0,1
37 0,36 1,02678E-06 2,6393E-06 0,1
38 0,37 1,3323E-06 2,7781E-06 0,1
39 0,38 1,7064E-06 2,9309E-06 0,1
40 0,39 2,1789E-06 3,0677E-06 0,1
41 0,4 2,7719E-06 3,2246E-06 0,1
42 0,41 3,4569E-06 3,3839E-06 0,1
43 0,42 4,2951E-06 3,5466E-06 0,1
44 0,43 5,249E-06 3,7131E-06 0,1
45 0,44 6,4554E-06 3,8815E-06 0,1
46 0,45 7,734E-06 4,0759E-06 0,1
47 0,46 9,2601E-06 4,2545E-06 0,1
48 0,47 1,10233E-05 4,4443E-06 0,1
49 0,48 1,2885E-05 4,6358E-06 0,1
50 0,49 1,5053E-05 4,8136E-06 0,1
51 0,5 1,7281E-05 5,041E-06 0,1
52 0,51 1,9647E-05 5,2443E-06 0,1
53 0,52 2,2385E-05 5,4594E-06 0,1
54 0,53 2,5174E-05 5,6765E-06 0,1
55 0,54 2,8215E-05 5,8778E-06 0,1
56 0,55 3,1555E-05 6,1036E-06 0,1
57 0,56 3,4806E-05 6,3616E-06 0,1
58 0,57 3,8292E-05 6,5865E-06 0,1
59 0,58 4,1786E-05 6,8339E-06 0,1
60 0,59 4,5427E-05 7,1054E-06 0,1
61 0,6 4,9106E-05 7,3436E-06 0,1
62 0,61 5,279E-05 7,6185E-06 0,1
63 0,62 5,6561E-05 7,8839E-06 0,1
64 0,63 6,0312E-05 8,1877E-06 0,1
65 0,64 6,4248E-05 8,2466E-06 0,1
66 0,65 6,7993E-05 8,5295E-06 0,1
67 0,66 7,1852E-05 8,8353E-06 0,1
68 0,67 7,5441E-05 9,1373E-06 0,1
69 0,68 7,9023E-05 9,4484E-06 0,1
70 0,69 8,3107E-05 9,7831E-06 0,1
71 0,7 8,6738E-05 1,01172E-05 0,1
72 0,71 9,0434E-05 1,04366E-05 0,1
73 0,72 9,41E-05 1,08019E-05 0,1
74 0,73 9,7818E-05 1,115E-05 0,1
75 0,74 0,00010143 1,1517E-05 0,1
76 0,75 0,000104947 1,1892E-05 0,1
77 0,76 0,000108246 1,2287E-05 0,1
78 0,77 0,00011164 1,2929E-05 0,1
79 0,78 0,0001155 1,3085E-05 0,1
80 0,79 0,00011887 1,3488E-05 0,1
81 0,8 0,00012189 1,3967E-05 0,1
82 0,81 0,00012523 1,4389E-05 0,1
83 0,82 0,00012843 1,485E-05 0,1
84 0,83 0,00013172 1,5385E-05 0,1
85 0,84 0,00013503 1,5782E-05 0,1
86 0,85 0,00013803 1,6265E-05 0,1
87 0,86 0,00014107 1,7173E-05 0,1
88 0,87 0,0001442 1,7574E-05 0,1
89 0,88 0,00014702 1,7942E-05 0,1
90 0,89 0,00014975 1,8427E-05 0,1
91 0,9 0,00015273 1,9022E-05 0,1
92 0,91 0,00015562 1,9685E-05 0,1
93 0,92 0,00015844 2,0065E-05 0,1
94 0,93 0,00016105 2,1012E-05 0,1
95 0,94 0,00016369 2,154E-05 0,1
96 0,95 0,00016621 2,185E-05 0,1
97 0,96 0,00016892 2,2404E-05 0,1
98 0,97 0,00017138 2,3484E-05 0,1
99 0,98 0,00017381 2,4069E-05 0,1
100 0,99 0,00017645 2,4233E-05 0,1
101 1 0,00017859 2,5086E-05 0,1
