
VG= 0 to 1 in 0,01 step
NO, VG ID IG VD
 V A A V
1 0 1,0997E-05 -7,2749E-08 0,1
2 0,01 1,0977E-05 -4,0543E-08 0,1
3 0,02 1,0976E-05 -8,1783E-09 0,1
4 0,03 1,0973E-05 2,3615E-08 0,1
5 0,04 1,0973E-05 5,6044E-08 0,1
6 0,05 1,0971E-05 8,9589E-08 0,1
7 0,06 1,0967E-05 1,239E-07 0,1
8 0,07 1,095E-05 1,5914E-07 0,1
9 0,08 1,0953E-05 1,9635E-07 0,1
10 0,09 1,0949E-05 2,3518E-07 0,1
11 0,1 1,0953E-05 2,7558E-07 0,1
12 0,11 1,0949E-05 3,1895E-07 0,1
13 0,12 1,0953E-05 3,638E-07 0,1
14 0,13 1,0953E-05 4,1309E-07 0,1
15 0,14 1,0963E-05 4,6161E-07 0,1
16 0,15 1,0976E-05 5,1531E-07 0,1
17 0,16 1,0998E-05 5,7126E-07 0,1
18 0,17 1,1006E-05 6,3019E-07 0,1
19 0,18 1,1056E-05 6,9392E-07 0,1
20 0,19 1,1125E-05 7,5532E-07 0,1
21 0,2 1,119E-05 8,2314E-07 0,1
22 0,21 1,127E-05 8,8996E-07 0,1
23 0,22 1,1363E-05 9,6568E-07 0,1
24 0,23 1,1512E-05 1,04033E-06 0,1
25 0,24 1,1676E-05 1,11587E-06 0,1
26 0,25 1,1903E-05 1,202E-06 0,1
27 0,26 1,2159E-05 1,2861E-06 0,1
28 0,27 1,2527E-05 1,3704E-06 0,1
29 0,28 1,2916E-05 1,4614E-06 0,1
30 0,29 1,3431E-05 1,5525E-06 0,1
31 0,3 1,4076E-05 1,6425E-06 0,1
32 0,31 1,4797E-05 1,7409E-06 0,1
33 0,32 1,5675E-05 1,8384E-06 0,1
34 0,33 1,6676E-05 1,9452E-06 0,1
35 0,34 1,7886E-05 2,055E-06 0,1
36 0,35 1,9282E-05 2,1621E-06 0,1
37 0,36 2,0812E-05 2,2585E-06 0,1
38 0,37 2,2576E-05 2,3635E-06 0,1
39 0,38 2,4505E-05 2,4794E-06 0,1
40 0,39 2,673E-05 2,5039E-06 0,1
41 0,4 2,9081E-05 2,6225E-06 0,1
42 0,41 3,1707E-05 2,8061E-06 0,1
43 0,42 3,4581E-05 2,9476E-06 0,1
44 0,43 3,76E-05 3,0743E-06 0,1
45 0,44 4,1225E-05 2,4657E-06 0,1
46 0,45 4,4655E-05 2,5689E-06 0,1
47 0,46 4,8295E-05 2,6826E-06 0,1
48 0,47 5,2162E-05 2,8018E-06 0,1
49 0,48 5,6291E-05 2,9218E-06 0,1
50 0,49 6,0488E-05 3,8948E-06 0,1
51 0,5 6,4871E-05 3,1741E-06 0,1
52 0,51 6,932E-05 3,3072E-06 0,1
53 0,52 7,3385E-05 3,8457E-06 0,1
54 0,53 7,867E-05 3,5908E-06 0,1
55 0,54 8,3419E-05 3,7364E-06 0,1
56 0,55 8,7754E-05 4,877E-06 0,1
57 0,56 9,2502E-05 4,9112E-06 0,1
58 0,57 9,796E-05 5,1319E-06 0,1
59 0,58 0,000102942 5,4453E-06 0,1
60 0,59 0,00010725 5,3119E-06 0,1
61 0,6 0,000112517 5,0821E-06 0,1
62 0,61 0,00011778 6,0858E-06 0,1
63 0,62 0,00012232 5,2091E-06 0,1
64 0,63 0,00012688 5,54E-06 0,1
65 0,64 0,00013172 6,428E-06 0,1
66 0,65 0,00013679 6,8255E-06 0,1
67 0,66 0,00014101 7,3351E-06 0,1
68 0,67 0,0001464 7,4762E-06 0,1
69 0,68 0,00015045 7,4226E-06 0,1
70 0,69 0,00015509 7,2317E-06 0,1
71 0,7 0,00015961 8,2453E-06 0,1
72 0,71 0,00016458 8,7552E-06 0,1
73 0,72 0,00016904 9,0542E-06 0,1
74 0,73 0,00017305 9,2828E-06 0,1
75 0,74 0,00017712 9,6631E-06 0,1
76 0,75 0,0001813 9,9465E-06 0,1
77 0,76 0,00018567 1,05618E-05 0,1
78 0,77 0,00018994 1,09681E-05 0,1
79 0,78 0,00019393 1,0315E-05 0,1
80 0,79 0,00019798 1,1045E-05 0,1
81 0,8 0,00020201 1,146E-05 0,1
82 0,81 0,00020548 1,3615E-05 0,1
83 0,82 0,00020916 1,3299E-05 0,1
84 0,83 0,00021282 1,4201E-05 0,1
85 0,84 0,00021625 1,5152E-05 0,1
86 0,85 0,0002198 1,5747E-05 0,1
87 0,86 0,0002233 1,6614E-05 0,1
88 0,87 0,00022639 1,7348E-05 0,1
89 0,88 0,00022975 1,8088E-05 0,1
90 0,89 0,00023291 1,887E-05 0,1
91 0,9 0,00023622 1,8705E-05 0,1
92 0,91 0,00023895 2,0664E-05 0,1
93 0,92 0,00024238 2,0922E-05 0,1
94 0,93 0,00024468 2,2019E-05 0,1
95 0,94 0,00024716 2,3132E-05 0,1
96 0,95 0,00025049 2,2947E-05 0,1
97 0,96 0,0002536 2,4573E-05 0,1
98 0,97 0,0002559 2,489E-05 0,1
99 0,98 0,00025879 2,4814E-05 0,1
100 0,99 0,0002617 2,6449E-05 0,1
101 1 0,00026364 2,6455E-05 0,1
