
VG= 0 to 1 in 0,01 step
NO, VG ID IG VD
 V A A V
1 0 6,1E-12 -5,98E-12 0,1
2 0,01 1,115E-11 -2,38E-12 0,1
3 0,02 1,425E-11 -5,1E-13 0,1
4 0,03 1,963E-11 -2,31E-12 0,1
5 0,04 2,763E-11 3,73E-12 0,1
6 0,05 4,216E-11 3,2E-12 0,1
7 0,06 5,98E-11 -8,1E-12 0,1
8 0,07 8,029E-11 5,21E-12 0,1
9 0,08 1,1709E-10 7,51E-12 0,1
10 0,09 1,6703E-10 1,23E-12 0,1
11 0,1 2,3917E-10 2,44E-12 0,1
12 0,11 3,4022E-10 5,08E-12 0,1
13 0,12 4,8187E-10 3,39E-12 0,1
14 0,13 6,8396E-10 2,76E-12 0,1
15 0,14 9,7411E-10 4,99E-12 0,1
16 0,15 1,3857E-09 8,84E-12 0,1
17 0,16 1,9643E-09 2,69E-12 0,1
18 0,17 2,7932E-09 -1,88E-12 0,1
19 0,18 3,9622E-09 -2,18E-12 0,1
20 0,19 5,6123E-09 2,69E-12 0,1
21 0,2 7,9594E-09 -5,69E-12 0,1
22 0,21 1,12824E-08 -3,91E-12 0,1
23 0,22 1,6001E-08 -1,1E-13 0,1
24 0,23 2,2684E-08 3,34E-12 0,1
25 0,24 3,2E-08 8,66E-12 0,1
26 0,25 4,5211E-08 1,63E-12 0,1
27 0,26 6,3942E-08 8,9E-13 0,1
28 0,27 9,0103E-08 4,5E-13 0,1
29 0,28 1,2583E-07 1,18E-12 0,1
30 0,29 1,7578E-07 2,26E-12 0,1
31 0,3 2,4419E-07 3,07E-12 0,1
32 0,31 3,3893E-07 -6,71E-12 0,1
33 0,32 4,6368E-07 1,6E-12 0,1
34 0,33 6,362E-07 -1,03E-12 0,1
35 0,34 8,6303E-07 1,6E-12 0,1
36 0,35 1,1645E-06 5,23E-12 0,1
37 0,36 1,5505E-06 2,4E-12 0,1
38 0,37 2,0316E-06 -5,9E-13 0,1
39 0,38 2,6229E-06 3,4E-12 0,1
40 0,39 3,3565E-06 2,06E-12 0,1
41 0,4 4,2424E-06 4,5E-13 0,1
42 0,41 5,2688E-06 5,86E-12 0,1
43 0,42 6,4833E-06 8,65E-12 0,1
44 0,43 7,8895E-06 1,063E-11 0,1
45 0,44 9,4646E-06 1,006E-11 0,1
46 0,45 1,12228E-05 1,31E-11 0,1
47 0,46 1,3134E-05 9,38E-12 0,1
48 0,47 1,5215E-05 7,14E-12 0,1
49 0,48 1,746E-05 6,42E-12 0,1
50 0,49 1,9903E-05 7,79E-12 0,1
51 0,5 2,2448E-05 7,38E-12 0,1
52 0,51 2,5108E-05 7,08E-12 0,1
53 0,52 2,7877E-05 1,482E-11 0,1
54 0,53 3,0799E-05 1,59E-11 0,1
55 0,54 3,3708E-05 1,601E-11 0,1
56 0,55 3,6762E-05 2,059E-11 0,1
57 0,56 3,9889E-05 2,48E-11 0,1
58 0,57 4,3017E-05 2,228E-11 0,1
59 0,58 4,6208E-05 1,837E-11 0,1
60 0,59 4,9509E-05 1,91E-11 0,1
61 0,6 5,2783E-05 2,385E-11 0,1
62 0,61 5,6095E-05 2,75E-11 0,1
63 0,62 5,9313E-05 3,38E-11 0,1
64 0,63 6,2678E-05 3,473E-11 0,1
65 0,64 6,5966E-05 3,638E-11 0,1
66 0,65 6,9306E-05 3,338E-11 0,1
67 0,66 7,2764E-05 3,637E-11 0,1
68 0,67 7,6139E-05 3,219E-11 0,1
69 0,68 7,9522E-05 3,53E-11 0,1
70 0,69 8,2966E-05 4,67E-11 0,1
71 0,7 8,6363E-05 4,98E-11 0,1
72 0,71 8,9702E-05 5,309E-11 0,1
73 0,72 9,3058E-05 5,75E-11 0,1
74 0,73 9,6424E-05 6,417E-11 0,1
75 0,74 9,9704E-05 6,254E-11 0,1
76 0,75 0,000102953 6,664E-11 0,1
77 0,76 0,000106298 7,501E-11 0,1
78 0,77 0,000109587 8,307E-11 0,1
79 0,78 0,000112695 8,348E-11 0,1
80 0,79 0,00011589 8,051E-11 0,1
81 0,8 0,00011905 9,567E-11 0,1
82 0,81 0,00012222 9,928E-11 0,1
83 0,82 0,00012547 1,0972E-10 0,1
84 0,83 0,00012853 1,1624E-10 0,1
85 0,84 0,00013156 1,2671E-10 0,1
86 0,85 0,00013454 1,2664E-10 0,1
87 0,86 0,00013761 1,3985E-10 0,1
88 0,87 0,00014049 1,4247E-10 0,1
89 0,88 0,00014336 1,5238E-10 0,1
90 0,89 0,0001462 1,6138E-10 0,1
91 0,9 0,00014904 1,6988E-10 0,1
92 0,91 0,0001519 1,8317E-10 0,1
93 0,92 0,00015466 1,9364E-10 0,1
94 0,93 0,00015741 2,0682E-10 0,1
95 0,94 0,00015998 2,2331E-10 0,1
96 0,95 0,00016276 2,3583E-10 0,1
97 0,96 0,00016537 2,5068E-10 0,1
98 0,97 0,00016788 2,6197E-10 0,1
99 0,98 0,00017036 2,8051E-10 0,1
100 0,99 0,00017279 2,9314E-10 0,1
101 1 0,00017531 3,0475E-10 0,1
