Z,LinearOutBot (Lambda1),LinearOutTop (Lambda1),LinearOutBot (Lambda2),LinearOutTop (Lambda2)
0,0.9286863,0.05361655,0.879466,0.09714156
20,0.9567789,0.02534188,0.8169155,0.1589715
40,0.9747385,0.007366942,0.7434855,0.2326317
60,0.9817571,0.000132952,0.6598155,0.3158946
80,0.978016,0.004003347,0.5702956,0.4055204
100,0.963531,0.01870547,0.4779452,0.4970455
120,0.9384849,0.0435894,0.3872292,0.5882834
140,0.9031403,0.07862365,0.2984851,0.6775042
160,0.8581942,0.123118,0.2166557,0.7593641
180,0.8051481,0.1761256,0.1448635,0.8319592
200,0.7454539,0.2357457,0.08575541,0.8923949
220,0.6800169,0.3006423,0.04085228,0.9379266
240,0.6108567,0.3699491,0.01220213,0.9672647
260,0.5383903,0.4426105,0.0003450887,0.9799576
280,0.4646205,0.5167513,0.005442082,0.9743346
300,0.3914895,0.5898491,0.02737925,0.9512827
320,0.3215401,0.6598792,0.0652693,0.9121831
340,0.2544515,0.7271773,0.1189822,0.85869
360,0.1927642,0.7886475,0.185805,0.7916099
380,0.1376544,0.8444828,0.2640022,0.7124792
400,0.09092901,0.891241,0.349826,0.6266658
420,0.05307001,0.9289912,0.4407726,0.5357216
440,0.02492775,0.9568265,0.5334179,0.4433521
460,0.00714671,0.9748243,0.6246821,0.3524652
480,0.0001061723,0.9819558,0.7114747,0.2663973
500,0.004112468,0.9782311,0.7901921,0.1880096
520,0.01876194,0.9637687,0.8570238,0.1214415
540,0.04411402,0.9384343,0.9118454,0.06749789
560,0.0795389,0.9028883,0.9513037,0.02839774
580,0.1243096,0.8581167,0.9741115,0.005784477
600,0.1773852,0.8049983,0.9804546,0.0002841853
620,0.2372291,0.745036,0.9685949,0.01185087
640,0.3024544,0.6791034,0.9391058,0.04036193
660,0.3718702,0.6095455,0.8938378,0.08466148
680,0.444345,0.5369336,0.8342824,0.1438525
700,0.5181844,0.4629607,0.7622615,0.2159585
720,0.5910319,0.3903305,0.6810139,0.2969556
740,0.6609515,0.3206269,0.5933128,0.3841748
760,0.7281966,0.2536637,0.5014813,0.4765681
780,0.7904944,0.1920985,0.4089857,0.5694581
800,0.8459044,0.1371592,0.3191202,0.659178
820,0.8927117,0.09031292,0.2361042,0.7430058
840,0.9302374,0.05256195,0.1616433,0.8173973
860,0.95807,0.02462429,0.09914836,0.8801638
880,0.9756621,0.006871549,0.05050347,0.9292295
900,0.9822246,0.00007306662,0.01761161,0.962619
920,0.9782124,0.004322835,0.001605753,0.9794144
940,0.9634033,0.0192059,0.002706137,0.9785976
960,0.9381359,0.04479307,0.02082357,0.9602517
980,0.9024475,0.08028757,0.05554921,0.9251237
1000,0.8577016,0.1252705,0.106309,0.8736101
1020,0.8045738,0.1782601,0.1703665,0.8095607
1040,0.7444923,0.2382277,0.2458825,0.7336195
1060,0.6785569,0.3037554,0.3300153,0.6490568
1080,0.6086306,0.3736242,0.4201755,0.558541
1100,0.5358078,0.4464092,0.5128224,0.4657787
1120,0.4620184,0.5204017,0.6051415,0.3736731
1140,0.3899317,0.5923901,0.6921035,0.2869407
1160,0.3194128,0.6629532,0.77255,0.2067499
1180,0.2525937,0.729724,0.8438616,0.1364951
1200,0.1911353,0.7915918,0.9019819,0.07883541
1220,0.1363719,0.8466164,0.9461035,0.03606596
